"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Matthew Talbot Hostel Primary Healthcare Clinic","Woolloomooloo","NSW",2011,151.218704223633,-33.8735008239746,"Nurse led clinic","GP",5
"Dubbocare Family Practice","Dubbo","NSW",2830,148.60498046875,-32.2519950866699,"General practice service","GP",32
"Coolum Community Health","Coolum Beach","QLD",4573,153.090408325195,-26.5307464599609,"Maternal, child and family health service","GP",8
"Carlyle Community Health","East Mackay","QLD",4740,149.18215868,-21.14249499,"Maternal, child and family health service","GP",3
"Koondoola Child Development Service","Koondoola","WA",6064,115.861976623535,-31.8387298583984,"Maternal, child and family health service","GP",3
"Fairfield District Medical Centre","Fairfield Heights","NSW",2165,150.938217163086,-33.8622817993164,"General practice service","GP",7
"Papunya Community Health Centre","Papunya","NT",872,131.90885925293,-23.2043933868408,"Nurse led clinic","GP",1
"Lang Lang Community Family Medicine","Lang Lang","VIC",3984,145.56217956543,-38.2648696899414,"General practice service","GP",3
"Australian Skin Cancer Clinics Prospect","Prospect","SA",5082,138.60224,-34.8827,"General practice skin cancer service","GP",14
"Knox City Council - Civic Centre Customer Enquiries","Wantirna South","VIC",3152,145.245498657227,-37.8711318969727,"Maternal, child and family health service","GP",13
"Surrey Hills Medical Centre","Surrey Hills","VIC",3127,145.09769,-37.82252,"General practice service","GP",9
"Seaford Beach Family Clinic","Seaford","VIC",3198,145.126205444336,-38.1024589538574,"General practice service","GP",10
"Orion Medical Centre","Upper Ferntree Gully","VIC",3156,145.311492919922,-37.8938026428223,"General practice service","GP",4
"Bridge Clinic - Standen Street","Murray Bridge","SA",5253,139.272766113281,-35.1217842102051,"General practice service","GP",11
"Westminster Family Medical Practice","Westminster","WA",6061,115.837821960449,-31.8683242797852,"General practice service","GP",7
"Galston Community Health Centre","Galston","NSW",2159,151.045913696289,-33.6509742736816,"Maternal, child and family health service","GP",4
"Clare Lane Midwifery Services","Mitcham","VIC",3132,145.207382202148,-37.8106918334961,"Maternal, child and family health service","GP",7
"Coen Apunipima Health Centre","Coen","QLD",4892,143.200781,-13.944593,"General practice service","GP",3
"Malvern Road Medical Centre","Glenwood","NSW",2768,150.922180175781,-33.7339820861816,"General practice service","GP",6
"Kurri Kurri Hospital","Kurri Kurri","NSW",2327,151.462966918945,-32.8255233764648,"Nurse led clinic","GP",6
"Medi7 - St Kilda Rd","Melbourne","VIC",3004,144.979309082031,-37.8445930480957,"General practice service","GP",57
"Well On Bay","Port Melbourne","VIC",3207,144.94086166,-37.84068576,"General practice service","GP",10
"Bidyadanga Health Clinic","Broome","WA",6725,122.591186523438,-18.049711227417,"Maternal, child and family health service","GP",12
"Asylum Seeker Resource Centre","Footscray","VIC",3011,144.898712158203,-37.8032341003418,"General practice service","GP",31
"Leichhardt Medical Centre - Norton Street","Leichhardt","NSW",2040,151.157272338867,-33.8877410888672,"General practice service","GP",17
"Maternal And Child Health Centre - Coldstream","Coldstream","VIC",3770,145.381805419922,-37.733154296875,"Maternal, child and family health service","GP",3
"Canning Medical Centre","Fremantle","WA",6160,115.752098083496,-32.053035736084,"General practice service","GP",17
"Headspace Melton","Melton South","VIC",3338,144.57448522,-37.70262945,"General practice service","GP",4
"Double Bay Doctors","Double Bay","NSW",2028,151.244827270508,-33.8769187927246,"Maternal, child and family health service","GP",7
"Cowra Medical Associates","Cowra","NSW",2794,148.695129394531,-33.8356704711914,"General practice service","GP",7
"Wilora Community Health Centre","Wilora","NT",872,133.729782104492,-21.7420558929443,"Aboriginal and Torres Strait Islander health service","GP",1
"Maternal And Child Health Centre - Timboon","Timboon","VIC",3268,142.977325439453,-38.4856796264648,"Maternal, child and family health service","GP",4
"Bribie Island Child Health","Bongaree","QLD",4507,153.159164428711,-27.0834922790527,"Maternal, child and family health service","GP",10
"Ebm Family Medical Practice","Mawson Lakes","SA",5095,138.607788085938,-34.802303314209,"General practice service","GP",8
"Warringah Medical And Dental Centre","Brookvale","NSW",2100,151.268020629883,-33.765079498291,"General practice service","GP",12
"Acacia Ridge Child Health Service (Early Years Centre)","Acacia Ridge","QLD",4110,153.01594543457,-27.5811138153076,"Maternal, child and family health service","GP",8
"Macarthur Child And Family Health Nursing Sustained Health Home Visiting Program - Bulundidi Gudaga","Narellan","NSW",2567,150.735412597656,-34.0428314208984,"Maternal, child and family health service","GP",11
"Corrimal Medical & Dental Centre A For Health Practice","Corrimal","NSW",2518,150.895950317383,-34.3718795776367,"General practice service","GP",6
"Blessed Health Care","Campsie","NSW",2194,151.101943969727,-33.912223815918,"General practice service","GP",26
"Banora Point Medical Centre","Banora Point","NSW",2486,153.521667480468,-28.2137756347656,"General practice service","GP",5
"Backbone Youth Arts","East Brisbane","QLD",4169,153.043182373047,-27.4783687591553,"Maternal, child and family health service","GP",5
"Bayswater Child Health Centre","Bayswater","WA",6053,115.914001464844,-31.9198989868164,"Maternal, child and family health service","GP",12
"Christies Beach Medical Centre","Christies Beach","SA",5165,138.481811523438,-35.1395416259766,"General practice service","GP",8
"Dubbo Child & Adolescent Community Mental Health Service","Dubbo","NSW",2830,148.603637695313,-32.2519683837891,"Maternal, child and family health service","GP",32
"Yass  Child And Family Health Service","Yass","NSW",2582,148.906829833984,-34.8439674377441,"Maternal, child and family health service","GP",8
"Cancer Council Queensland - Olive Mcmahon Lodge","East Toowoomba","QLD",4350,151.97527,-27.56664,"Community cancer service","GP",15
"Myhealth Darling Square","Sydney","NSW",2000,151.201309204102,-33.8788642883301,"General practice service","GP",64
"Ochre Health Medical Centre - King Island","Currie","TAS",7256,143.85789406,-39.92981715,"General practice service","GP",3
"First Health Medical Centre - Hampton Park","Hampton Park","VIC",3976,145.267028808594,-38.0352401733398,"General practice service","GP",9
"Merge Health","Richmond","VIC",3121,145.0140643,-37.81237145,"General practice service","GP",37
"Carlingford Medical Practice","Carlingford","NSW",2118,151.05827331543,-33.7643775939941,"General practice service","GP",15
"Lake Grace Child Health Centre","Lake Grace","WA",6353,118.453460693359,-33.1013908386231,"Maternal, child and family health service","GP",3
"Menzies Child Health Centre","Menzies","WA",6436,121.023292541504,-29.6887741088867,"Maternal, child and family health service","GP",2
"Stirling Medical Centre","Cranbourne North","VIC",3977,145.267879,-38.069779,"General practice service","GP",8
"Palmers Medical Centre Woodlea","Aintree","VIC",3336,144.671990756139,-37.7227412393686,"General practice service","GP",2
"Port Broughton District Hospital And Health Services","Port Broughton","SA",5522,137.933893711763,-33.6009506747762,"Maternal, child and family health service","GP",4
"Ochre Medical Centre Lithgow","Lithgow","NSW",2790,150.155685424805,-33.4813575744629,"General practice service","GP",5
"Kambalda Health Centre","Kambalda West","WA",6442,121.620086669922,-31.2091426849365,"Maternal, child and family health service","GP",2
"Cancer Council Queensland - Marylyn Mayo Lodge","Woree","QLD",4868,145.74019854,-16.94883405,"Community cancer service","GP",4
"Glenrock Country Practice - Wagga Wagga","Glenfield Park","NSW",2650,147.332458496094,-35.13671875,"Maternal, child and family health service","GP",1
"The Rowley Road Clinic","Aldinga Beach","SA",5173,138.46061706543,-35.2780303955078,"General practice service","GP",6
"Wghg Rawson Community Health Centre","Rawson","VIC",3825,146.397186279297,-37.956901550293,"Nurse led clinic","GP",1
"Our Medical Home Marsden Park","Marsden Park","NSW",2765,150.840393066406,-33.7197456359863,"General practice service","GP",5
"Capella Outpatients Clinic","Capella","QLD",4723,148.021896362305,-23.0802478790283,"Nurse led clinic","GP",2
"Young Street Medical And Dental Centre Frankston","Frankston","VIC",3199,145.124084472656,-38.1452484130859,"General practice service","GP",38
"Ochre Medical Centre - Hobart","Hobart","TAS",7000,147.32292611,-42.88551342,"General practice service","GP",19
"Algester Star Doctors","Algester","QLD",4115,153.032165527344,-27.6100387573242,"General practice service","GP",1
"Magnetic Island Health Service Centre","Nelly Bay","QLD",4819,146.849853515625,-19.1574935913086,"Maternal, child and family health service","GP",4
"Gawler Health Service","Gawler East","SA",5118,138.755218505859,-34.5932121276856,"Aboriginal and Torres Strait Islander health service","GP",6
"St Luke The Physician Medical And Dental Centre","Raby","NSW",2566,150.819717407227,-34.025577545166,"General practice service","GP",5
"Tweed City Family Practice","Tweed Heads South","NSW",2486,153.545812,-28.201045,"General practice service","GP",7
"Ripponlea Medical","Ripponlea","VIC",3185,144.993388,-37.877262,"General practice service","GP",2
"Westmead Medical Centre","Westmead","NSW",2145,150.97932434082,-33.8062629699707,"General practice service","GP",17
"Deniliquin Palliative Care Service","Deniliquin","NSW",2710,144.962036132813,-35.5240516662598,"Nurse led clinic","GP",7
"Macarthur Child Family Health Nursing - Oran Park","Oran Park","NSW",2570,150.74055480957,-34.0000534057617,"Maternal, child and family health service","GP",4
"Padstow Parade Clinic","Padstow","NSW",2211,151.032379150391,-33.9527473449707,"General practice service","GP",9
"Ochre Medical Centre - St Helens","St Helens","TAS",7216,148.25145781,-41.32265778,"General practice service","GP",3
"Maternal And Child Health Centre - Dingee","Dingee","VIC",3571,144.230895996094,-36.3732490539551,"Maternal, child and family health service","GP",2
"Mitcham General Practice","Kingswood","SA",5062,138.609391,-34.972836,"General practice service","GP",9
"Woy Woy Community Health Centre","Woy Woy","NSW",2256,151.319808959961,-33.4973297119141,"Maternal, child and family health service","GP",10
"Murchison Medical Clinic","Murchison","VIC",3610,145.214401245117,-36.6183929443359,"General practice service","GP",2
"Prime Medical Centre","Thornlie","WA",6108,115.950557836342,-32.068892760395,"General practice service","GP",8
"Read Street Medical & Skin Centre","Rockingham","WA",6168,115.74096,-32.29177,"General practice service","GP",15
"Maternal And Child Health Centre - Monbulk","Monbulk","VIC",3793,145.409133911133,-37.8750839233398,"Maternal, child and family health service","GP",5
"Angurugu Primary Health Centre","Angurugu","NT",822,136.461410522461,-13.9814653396606,"Maternal, child and family health service","GP",1
"Atticus Health - Bittern","Bittern","VIC",3918,145.177169799805,-38.3364944458008,"General practice service","GP",2
"Myhealth Point Cook","Point Cook","VIC",3030,144.728713989258,-37.8980216979981,"General practice service","GP",18
"The Townsville Hospital - Child And Youth Mental Health Service - Aboriginal And Torres Strait Islander","Douglas","QLD",4814,146.761596679688,-19.3206367492676,"Aboriginal and Torres Strait Islander health service","GP",7
"Belair Medical","Belair","SA",5052,138.622802734375,-34.9992904663086,"General practice service","GP",3
"Crookwell District Hospital","Crookwell","NSW",2583,149.468109130859,-34.4640731811523,"Maternal, child and family health service","GP",7
"Mukinbudin Nursing Post","Mukinbudin","WA",6479,118.206466674805,-30.9157295227051,"Nurse led clinic","GP",1
"Victoria Tower Medical","Burwood","NSW",2134,151.105545043945,-33.8754692077637,"General practice service","GP",28
"Noosa Community Health Centre","Noosa Heads","QLD",4567,153.090713500977,-26.3964347839355,"Maternal, child and family health service","GP",9
"Brewarrina Health Service Ambulatory Care Clinic","Brewarrina","NSW",2839,146.863677978516,-29.961763381958,"Nurse led clinic","GP",5
"Leichhardt House Medical Centre","Centenary Heights","QLD",4350,151.964141845703,-27.5808982849121,"General practice service","GP",2
"All Medical","Wantirna South","VIC",3152,145.221664428711,-37.8763732910156,"General practice service","GP",13
"Wellbeing Mclaren Vale","Mclaren Vale","SA",5171,138.545288085938,-35.2214050292969,"General practice service","GP",3
"Barmera Medical Clinic","Barmera","SA",5345,140.47102355957,-34.248779296875,"General practice service","GP",3
"Taree Community Health Centre Palliative Care Service","Taree","NSW",2430,152.455902099609,-31.9094219207764,"Nurse led clinic","GP",19
"Marriott Waters Family & Children's Centre","Lyndhurst","VIC",3975,145.251220703125,-38.0719413757324,"Maternal, child and family health service","GP",3
"Frenchs Forest Doctors","Frenchs Forest","NSW",2086,151.243408203125,-33.7509002685547,"General practice service","GP",7
"South Side Medical","East Mackay","QLD",4740,149.18575794,-21.14853416,"General practice service","GP",3
"Earlwood Child And Family Health Service","Earlwood","NSW",2206,151.124481201172,-33.9274215698242,"Maternal, child and family health service","GP",12
"Bicheno General Practice","Bicheno","TAS",7215,148.296920776367,-41.8740730285645,"General practice service","GP",2
"North Blackwater General Practice","Blackwater","QLD",4717,148.888565063477,-23.5749435424805,"General practice service","GP",4
"Warraber Island Primary Health Care Centre","Warraber Islet","QLD",4875,142.82457,-10.208223,"Nurse led clinic","GP",1
"Street Doctor (360 Street Doctor)","Seville Grove","WA",6112,116.00290081,-32.13329521,"General practice service","GP",3
"Maternal And Child Health Centre - Diamond Creek","Diamond Creek","VIC",3089,145.154006958008,-37.6745071411133,"Maternal, child and family health service","GP",5
"Alpha Medical Centre - Seven Hills","Seven Hills","NSW",2147,150.932540893555,-33.7754669189453,"General practice service","GP",16
"Medical & Aviation Centre Wolli Creek","Wolli Creek","NSW",2205,151.15410836,-33.93265513,"General practice service","GP",7
"Medical One - Taylors Lakes","Taylors Lakes","VIC",3038,144.800582885742,-37.7021217346191,"General practice service","GP",10
